Measure Mode: wall_time
Thread ID: 70206089248720
Fiber ID: 70206086642280
Total: 0.018238
Sort by: self_time

 %self      total      self      wait     child     calls  name
 23.11      0.018     0.004     0.000     0.013        1   <Class::IO>#foreach
 12.59      0.003     0.002     0.000     0.001      264   <Module::Oj>#dump
 10.97      0.003     0.002     0.000     0.001     1382   <Class::Parser>#parse_session
 10.63      0.002     0.002     0.000     0.000     1646   String#split
  5.72      0.001     0.001     0.000     0.000     7128   Hash#has_key?
  4.99      0.006     0.001     0.000     0.006      264   <Class::Report>#add_parsed
  4.43      0.001     0.001     0.000     0.000     1382   Set#add
  2.69      0.000     0.000     0.000     0.000      528   Array#sort!
  2.63      0.002     0.000     0.000     0.001      264   User#prepare
  2.43      0.000     0.000     0.000     0.000      266   IO#write
  2.28      0.000     0.000     0.000     0.000     1646   String#start_with?
  2.24      0.000     0.000     0.000     0.000     1382   String#strip
  2.02      0.000     0.000     0.000     0.000     1382   String#to_i
  1.59      0.000     0.000     0.000     0.000      265   Array#join
  1.45      0.000     0.000     0.000     0.000      263   User#reset
  1.44      0.001     0.000     0.000     0.000      263   <Class::Parser>#clear_cache
  1.15      0.000     0.000     0.000     0.000      264   <Class::Parser>#parsed_exists?
  1.11      0.000     0.000     0.000     0.000      528   Integer#to_s
  0.84      0.000     0.000     0.000     0.000      264   <Class::Parser>#parse_user
  0.72      0.000     0.000     0.000     0.000      263   User#nullify
  0.65      0.000     0.000     0.000     0.000        1   File#initialize
  0.62      0.000     0.000     0.000     0.000      264   String#include?
  0.62      0.000     0.000     0.000     0.000        1   IO#close
  0.60      0.000     0.000     0.000     0.000      265   String#upcase!
  0.49      0.000     0.000     0.000     0.000      526   Array#clear
  0.37      0.000     0.000     0.000     0.000      264   String#end_with?
  0.33      0.000     0.000     0.000     0.000        1   Enumerable#sort
  0.33      0.000     0.000     0.000     0.000      264   Array#reverse!
  0.24      0.000     0.000     0.000     0.000        1   JSON::Ext::Generator::GeneratorMethods::Hash#to_json
  0.14      0.018     0.000     0.000     0.018        1   [global]#[no method]
  0.10      0.018     0.000     0.000     0.018        1   <Class::IO>#open
  0.08      0.000     0.000     0.000     0.000        1   String#tr!
  0.07      0.000     0.000     0.000     0.000        1   Hash#each_key
  0.07      0.000     0.000     0.000     0.000        1   <Class::Report>#add_analyse
  0.04      0.000     0.000     0.000     0.000        5   String#encode
  0.04      0.000     0.000     0.000     0.000        1   <Class::Report>#prepare
  0.03      0.000     0.000     0.000     0.000        1   Set#each
  0.03      0.018     0.000     0.000     0.018        1   Object#work
  0.02      0.000     0.000     0.000     0.000        1   Kernel#dup
  0.02      0.000     0.000     0.000     0.000        2  *Class#new
  0.02      0.000     0.000     0.000     0.000        4   Symbol#to_s
  0.02      0.000     0.000     0.000     0.000        1   Set#initialize
  0.01      0.000     0.000     0.000     0.000        1   Set#size
  0.01      0.000     0.000     0.000     0.000        1   NilClass#nil?
  0.01      0.000     0.000     0.000     0.000        1   Hash#keys
  0.01      0.000     0.000     0.000     0.000        1   JSON::Ext::Generator::State#initialize_copy
  0.01      0.000     0.000     0.000     0.000        1   IO#closed?
  0.01      0.000     0.000     0.000     0.000        1   Hash#initialize
  0.01      0.000     0.000     0.000     0.000        1   Kernel#initialize_dup

* indicates recursively called methods
