Measure Mode: wall_time
Thread ID: 70208069025840
Fiber ID: 70208065413220
Total: 0.161745
Sort by: self_time

 %self      total      self      wait     child     calls  name
 19.77      0.032     0.032     0.000     0.000    20000   String#split
 16.45      0.125     0.027     0.000     0.098        5   Array#each
 10.97      0.031     0.018     0.000     0.013     4610   Array#map
  6.11      0.010     0.010     0.000     0.000     1536   Array#any?
  5.15      0.016     0.008     0.000     0.008        1   JSON::Ext::Generator::GeneratorMethods::Hash#to_json
  4.79      0.023     0.008     0.000     0.015     8464   Object#parse_session
  3.73      0.006     0.006     0.000     0.000    17846   String#upcase
  3.63      0.006     0.006     0.000     0.000     8464   String#tr
  3.50      0.006     0.006     0.000     0.000    25366   String#encode
  3.43      0.055     0.006     0.000     0.049     1536   Object#calc_stat
  2.81      0.005     0.005     0.000     0.000        1   <Class::IO>#write
  2.58      0.004     0.004     0.000     0.000     3073   Array#sort
  2.26      0.004     0.004     0.000     0.000        1   <Class::IO>#readlines
  2.18      0.004     0.004     0.000     0.000     1537   Array#join
  1.13      0.005     0.002     0.000     0.004     1536   Object#browsers
  1.11      0.002     0.002     0.000     0.000        2   Array#uniq
  1.00      0.003     0.002     0.000     0.001     1536   Object#parse_user
  0.94      0.002     0.002     0.000     0.000     8464   String#to_i
  0.92      0.002     0.001     0.000     0.001     1536   Object#longest_session
  0.85      0.001     0.001     0.000     0.000    10756   String#to_s
  0.77      0.002     0.001     0.000     0.001     1536   Class#new
  0.76      0.001     0.001     0.000     0.000     1536   User#initialize
  0.57      0.013     0.001     0.000     0.012     1536   Object#dates
  0.56      0.002     0.001     0.000     0.001     1536   Object#total_time
  0.48      0.001     0.001     0.000     0.000     3072   Integer#to_s
  0.45      0.001     0.001     0.000     0.001      460   Array#all?
  0.45      0.008     0.001     0.000     0.007     1536   Object#browsers_list
  0.41      0.007     0.001     0.000     0.006     1536   Object#time_from_sesions
  0.40      0.011     0.001     0.000     0.010     1536   Object#used_ie
  0.39      0.001     0.001     0.000     0.000     1536   Object#sessions_count
  0.22      0.000     0.000     0.000     0.000     1538   Hash#keys
  0.19      0.000     0.000     0.000     0.000     1536   Array#sum
  0.19      0.000     0.000     0.000     0.000     1536   Array#max
  0.18      0.162     0.000     0.000     0.161        1   Object#work
  0.18      0.000     0.000     0.000     0.000     1537   Symbol#to_s
  0.18      0.000     0.000     0.000     0.000     1536   Array#reverse
  0.14      0.000     0.000     0.000     0.000     1539   Array#count
  0.11      0.001     0.000     0.000     0.001      460   Object#always_used_chrome
  0.02      0.162     0.000     0.000     0.162        1   Object#start_ruby_prof
  0.01      0.011     0.000     0.000     0.011        1   Object#find_all_browsers
  0.00      0.004     0.000     0.000     0.004        1   Enumerable#group_by
  0.00      0.057     0.000     0.000     0.057        1   Object#collect_stats_from_users
  0.00      0.000     0.000     0.000     0.000        1   Hash#default=
  0.00      0.061     0.000     0.000     0.061        1   Object#parse_file
  0.00      0.005     0.000     0.000     0.005        1   Object#create_users_objects
  0.00      0.000     0.000     0.000     0.000        1   Kernel#dup
  0.00      0.003     0.000     0.000     0.003        1   Object#count_browsers
  0.00      0.000     0.000     0.000     0.000        1   JSON::Ext::Generator::State#initialize_copy
  0.00      0.000     0.000     0.000     0.000        1   Kernel#initialize_dup

* indicates recursively called methods
